ID,Name,LinkedIn URL,Locations,Location Phones,HQ Location,HQ Location Phones,Technologies,Industries,Company type,Website,Domain,Headcount,Company description,Revenue,Intent data,shopify
41db7cdc-dc2a-3905-8422-0f25b2a92cc2,Baerck,https://www.linkedin.com/company/baerck,"[Germany, Berlin, Berlin, 12 Mulackstraße, 10119]",,"Germany, Berlin, Berlin, 12 Mulackstraße, 10119",,"Shopify, jQuery CDN, Cart Functionality, HSTS, Google Pay, HTTP/3, PayPal Marketing Solutions, Modernizr, PHP, MailChimp, cdnjs, Klarna Checkout, PayPal Credit, Prebid, jQuery, CloudFlare, Google Hosted Libraries, Google Analytics, Google Ads, reCAPTCHA, Osano, Shop Pay, American Express, X-XSS-Protection, Priority Hints, Google Font API, Google Ads Conversion Tracking, MasterCard, PayPal, VISA, Facebook Pixel, Apple Pay, X-Content-Type-Options, Open Graph, Facebook",Apparel & Fashion,,www.baerck.net,baerck.net,4,"Baerck is an apparel & fashion company based out of 12 Mulackstraße, Berlin, Berlin, Germany.",1252303,,True
8da90503-a4e7-3ca9-8220-a626c1cc257f,Radka Sillerova Atelier,https://www.linkedin.com/company/radka-fashion,"[Germany, Bavaria, Nürnberg, Bauvereinstraße, 90489]",,"Germany, Bavaria, Nürnberg, Bauvereinstraße, 90489",,"Shopify, Flickity, Open Graph, PayPal, Priority Hints, VISA, Facebook Pixel, MasterCard, Swiper, American Express, X-XSS-Protection, WordPress, MySQL, core-js, Elementor, HSTS, Loggly, HTTP/3, BugSnag, Nginx, Tidio, Google Pay, YouTube, Apple Pay, Omnisend, RSS, Omnisend Email Marketing & SMS, jQuery UI, Facebook, Shop Pay, Google Font API, Underscore.js, jQuery Migrate, WP-Statistics, OpenResty, Bunny, Lua, Cart Functionality, Polyfill, Klarna Checkout, Amazon S3, Lodash, PHP, Babel, MailChimp, Vue.js, Shopify Product Reviews, jQuery, Google Analytics, TrackJs, Google Analytics Enhanced Ecommerce, CloudFlare, Amazon Web Services, Twitter, WooCommerce, Google Tag Manager, Font Awesome, Stamped, Google Hosted Libraries",Apparel & Fashion,Privately Held,radkasillerova.com,radkasillerova.com,3,We create handcrafted leather handbags and leather accessories. The bags are colourful in many different combinations from the inside out. They can also be customized for private customer or for companies with its own logo added. The inside colour of the bags always match the colour of the leather or can be also customized with your prefered colour and design or sew in your name to make it really unique. Everything is handcrafted in Czech Republic and we use a high quality leather from Italy and Germany only with using solid stainless steel for the zip slider or the strap.,1252303,,True
ab1e5981-f912-31dc-a546-2a3f3546c67b,Markenwelt ModehausJung,https://www.linkedin.com/company/markenwelt–-modehausjung,"[Germany, Baden-württemberg, Pforzheim, 22 Westliche Karl-friedrich-str., 75172]",,"Germany, Baden-württemberg, Pforzheim, 22 Westliche Karl-friedrich-str., 75172",,"Shopify, Klarna, Klarna Checkout, Avada SEO, Instafeed, Tailwind CSS, Elementor, MySQL, jQuery Migrate, Nginx, Apache, jQuery, Font Awesome, RSS, Priority Hints, WordPress, Google Font API, Google Analytics, WhatsApp Business Chat, CloudFlare, Open Graph, MasterCard, Apple Pay, American Express, X-XSS-Protection, VISA, PayPal, X-Content-Type-Options, Google Pay, HSTS, Cart Functionality, HTTP/3, Bunny, PHP",Apparel & Fashion,,modehausjung.com,modehausjung.com,4,"Markenwelt– ModehausJung is an apparel & fashion company based out of 22 Westliche - Karl-Friedrich-Str., Pforzheim, Germany.",1252303,,True
09d55c82-16c8-38db-9f80-fd9e3cc41f41,AUF AUGENHOEHE,https://www.linkedin.com/company/aufaugenhoehe,"[Germany, Berlin, Berlin]",,"Germany, Berlin, Berlin",,"Shopify, Pixc, CloudFlare, React, jQuery, Google Analytics, HTML, Karriere, Polyfill, Modernizr, Instafeed, MailChimp, Vimeo, Boomerang, Facebook Chat Plugin, Cart Functionality, Google Pay, BugSnag, HTTP/3, POWr, Open Graph, Omnisend, jsDelivr, Apple Pay, Facebook Pixel, Priority Hints, Facebook, X-XSS-Protection, Omnisend Email Marketing & SMS, PayPal, RSS, YouTube, HSTS, Vision",Apparel & Fashion,Privately Held,www.aufaugenhoehe.design,aufaugenhoehe.design,3,"Fashion isn’t just a way of expressing one’s individuality but also importantly, a medium for social belonging. That’s why we came up with the unique concept of developing a fashion label created specifically for people with dwarfism. Ensuring equal access and inclusion – AUF AUGENHOEHE is the leader for the future of the fashion industry. Through extensive research and collaboration with people with dwarfism worldwide, we have developed a revolutionary size chart, making finding perfectly fitting styles for our clientele a breeze.  Our designs focus on timelessly beautiful pieces, without disregarding comfort and quality.  All of our products are developed locally and via sustainable methods. Not only are we passionate about a future with inclusion and diversity in the fashion industry, but we are also passionate about the future of the planet. AUF AUGENHOEOE - From us, for us",1252303,,True
b94a4b3d-0258-3546-8ff2-9c6e782dbe87,Tom&Jenny GmbH,https://www.linkedin.com/company/tom&jenny,"[Germany, Berlin, Berlin, 2 Ackerstraße, 10115]",,"Germany, Berlin, Berlin, 2 Ackerstraße, 10115",,"Shopify, Loyalty Lion, Klarna, MailChimp, Azure Edge, Google Pay, Cart Functionality, HSTS, LoyaltyLion, Deutsche Post, HTTP/3, Amazon Pay, Hextom Free Shipping Bar, jQuery CDN, BugSnag, Prebid, jQuery, React, Font Awesome, Envoy, Smart AdServer, Cloudflare Bot Management, Amazon Web Services, Google Analytics, Google Tag Manager, reCAPTCHA, CloudFlare, Omnisend, PayPal, Privy, jsDelivr, Optimonk, VISA, Priority Hints, Open Graph, Facebook, Apple Pay, Shop Pay, Privy App, American Express, jQuery UI, Facebook Pixel, Google Font API, MasterCard, X-XSS-Protection, X-Content-Type-Options, Omnisend Email Marketing & SMS, RSS, Handlebars, Instafeed, Modernizr, Polyfill, Amazon S3, Boomerang, ReCharge, Bootstrap, Trusted Shops, Klarna Checkout, Preact, DHL, cdnjs",Apparel & Fashion,Privately Held,www.tomundjenny.com,tomundjenny.com,3,"Tom&Jenny ist ein junges deutsches Familienunternehmen, das sich zum Ziel gesetzt hat, den alternativlos besten Baby Body zu entwickeln, ihn fair und nachhaltig zu produzieren und online zu vertreiben.",1252303,,True
682174a6-3871-3cd1-9652-5f66b835876b,Jill McGowan Inc,https://www.linkedin.com/company/jill-mcgowan-inc,"[Germany, Freeport, 56 Main St, 04032], [Bahamas, Freeport, Freeport]",,"Germany, Freeport, 56 Main St, 04032",,"Shopify, reCAPTCHA, jQuery, CloudFlare, Google Hosted Libraries, Google Analytics, Prebid, Venmo, Amazon Web Services, Ruby, Google Tag Manager, X-Content-Type-Options, Apple Pay, Facebook, Priority Hints, American Express, Open Graph, Facebook Pixel, Stimulus, MasterCard, X-XSS-Protection, RSS, Ruby on Rails, PayPal, Google Font API, VISA, Shop Pay, HSTS, core-js, Google Pay, HTTP/3, YouTube, Cart Functionality, hCaptcha, Modernizr, Handlebars, Amazon S3, Babel, MailChimp, Webpack, Boomerang, Shopify Product Reviews",Apparel & Fashion,,jillmcgowan.com,jillmcgowan.com,4,"Jill McGowan, Inc is an apparel & fashion company based out of 56 Main St, Freeport, Germany.",1252303,,True
2930fd82-a4d5-3cb1-a55f-ecd6971b90d8,Baby Boutique Munich,https://www.linkedin.com/company/baby-boutique-munich,"[Germany, Bavaria, Helfenbrunn, 4 Zur Amper, 85414]",,"Germany, Bavaria, Helfenbrunn, 4 Zur Amper, 85414",,"Shopify, Klarna, AWS, MasterCard, VISA, Akamai, RSS, Apple Pay, Facebook, Shopify Chat, American Express, Facebook Pixel, Priority Hints, PayPal, X-Content-Type-Options, X-XSS-Protection, Open Graph, CloudFlare, Google Analytics, Envoy, reCAPTCHA, Google Tag Manager, Akamai Bot Manager, Boomerang, Preact, MailChimp, Klarna Checkout, HSTS, Cart Functionality, HTTP/3, Google Pay",Apparel & Fashion,Sole Proprietorship,www.babyboutiquemunich.de,babyboutiquemunich.de,3,,1252303,,True
57bbea7a-0f10-34a1-b6d1-c86eaf63a56c,Keep Loving,https://www.linkedin.com/company/keep-loving,"[Germany, North Rhine-westphalia, Köln, 47 Severinstraße, 50678]",,"Germany, North Rhine-westphalia, Köln, 47 Severinstraße, 50678",,"Shopify, DHL, HSTS, Cart Functionality, Google Pay, HTTP/3, CloudFlare, PayPal, Open Graph, Apple Pay, MasterCard, VISA, Priority Hints, X-Content-Type-Options, X-XSS-Protection, Shop Pay, American Express",Apparel & Fashion,Self Owned,www.keeploving.de,keeploving.de,3,"keep loving… ist ein Fashion Retail Concept mit zwei permanenten Stores für Lifestyle-affine Frauen in Köln, welches 2015 von der Schauspielerin Elmira Rafizadeh gegründet wurde.  Unser Konzept besteht darin, ein selektives Produkt- und Markenportfolio aus internationalen wie auch lokalen Fashion & Lifestyle Brands offline und online erlebbar zu machen. Wir emotionalisieren, visualisieren & positionieren Marken im Rahmen unserer Keep Loving Kommunikation in einem reichweiten starken Umfeld: Vor Ort als Touch Point, in Bildern, in Bewegtbildformaten (Reels, Imageclips, Behind the Scenes,…) und in unseren Lifestyle & Influencer Events.  Über unseren Instagram-Kanal @keeploving.shop stehen wir in täglicher Interaktion mit unserer Community. Unser Gefühl von keep loving… drücken wir zusätzlich durch exklusive Launches, Kooperationen sowie eigene Capsule Collections aus.",1252303,,True
4663d249-2f47-3895-a8c7-de16799f64cd,Zellmops,https://www.linkedin.com/company/zellmops,"[Germany, Berlin, Berlin, 14 Gabriel-max-straße, 10245]",,"Germany, Berlin, Berlin, 14 Gabriel-max-straße, 10245",,"Shopify, Yotpo, Klaviyo, Klarna, HSTS, Microsoft Clarity, HTTP/3, three.js, Cart Functionality, Google Pay, Weglot, Google Analytics, reCAPTCHA, Envoy, CloudFlare, Dovetale, jQuery, React, Priority Hints, AOS, American Express, Apple Pay, Facebook Pixel, PayPal, Open Graph, MasterCard, VISA, Shopify Consent Management, X-Content-Type-Options, Shopify Chat, Mautic, X-XSS-Protection, GoAffPro, Emotion, Facebook, Flickity, RSS, Hotjar, Shop Pay, Preact, DHL, TikTok Pixel, hCaptcha, Polyfill, Trusted Shops",Apparel & Fashion,Sole Proprietorship,www.zellmops.de,zellmops.de,3,"Wir entwickeln, produzieren und verkaufen handgemachte Stillmode, Babymode, Home-Artikel und Accessoires für Stillzeit und Baby. So viel Liebe, die in unseren Produkten steckt, findest du sonst nur bei Mutti!",1252303,,True
85aef0b0-6798-3baf-b5fb-64b6d59ed900,Nicola Metzger GmbH,https://www.linkedin.com/company/nicola-metzger,"[Germany, Berlin, Berlin, 76 Kastanienallee, 10435]",+493095623155,"Germany, Berlin, Berlin, 76 Kastanienallee, 10435",+493095623155,"Shopify, Sourcing, Facebook, PayPal, Facebook Pixel, American Express, WordPress, VISA, jsDelivr, RSS, X-XSS-Protection, Google Font API, Open Graph, Apple Pay, Shop Pay, Hotjar, X-Content-Type-Options, MasterCard, Priority Hints, Choices, CloudFlare, Yoast SEO, React, Google Hosted Libraries, Twitter Emoji (Twemoji), Google Analytics Enhanced Ecommerce, jQuery, Envoy, Google Analytics, RequireJS, Webpack, PHP, Modernizr, Polyfill, Lodash, MailChimp, DHL, Klarna Checkout, TweenMax, Zepto, Google Pay, Facebook Chat Plugin, Google Cloud, HSTS, HTTP/3, Jumbo, Wix, Cart Functionality, YouTube",Apparel & Fashion,Privately Held,www.nicolametzger.com,nicolametzger.com,3,"Show your colour.  Every colour is beautiful!  We make sustainable fashion - for your joy!  We cooperate with great people - because things become even more beautiful together. Fair production, eco-friendly materials - lively and chic. Come on a journey with us!",1252303,,True
7213dd4e-7f20-3f25-a673-3d4108e730e3,The Nerdy-T,https://www.linkedin.com/company/the-nerdy-t,"[Germany, Hesse, Gießen, 17 Am Bergwerkswald]",,"Germany, Hesse, Gießen, 17 Am Bergwerkswald",,"Shopify, Klarna, X-Content-Type-Options, Priority Hints, Facebook Pixel, Ruby on Rails, Stimulus, MasterCard, DPD, Google Font API, Flickity, X-XSS-Protection, Open Graph, VISA, Apple Pay, Shop Pay, PayPal, American Express, Google Ads Conversion Tracking, Facebook, Google Hosted Libraries, Google Analytics, Booster Page Speed Optimizer, Google Ads, Cookie Script, Ruby, jQuery, reCAPTCHA, CloudFlare, HSTS, Bunny, Printful, Fathom, core-js, HTTP/3, Cart Functionality, Amazon Pay, Google Pay, Boomerang, Shopify Product Reviews, Handlebars, DHL, hCaptcha, Klarna Checkout, Babel",Apparel & Fashion,Sole Proprietorship,the-nerdy-t.de,the-nerdy-t.de,3,"Von T-Shirts über Hoodies, perfekte Geschenke für spezielle Freunde bis hin zu Accessoires für dein Zuhause 🏡  findest du alles rund ums Thema Science mit der gewissen Prise Humor.",1252303,,True
52b27ec8-cb1e-306f-ab7b-7905418af4b7,Anzu Jewelry,https://www.linkedin.com/company/anzu-jewelry,"[Germany, Baden-württemberg, Stuttgart, 136 Hauptstätter Straße, 70178]",,"Germany, Baden-württemberg, Stuttgart, 136 Hauptstätter Straße, 70178",,"Shopify, jQuery UI, Facebook, Apache HTTP Server, Facebook Pixel, RSS, Open Graph, FedEx, DPD, Google Font API, Ionicons, WordPress, Google Analytics, Yoast SEO, jQuery, Font Awesome, Apache, WPML, WooCommerce, Slider Revolution, reCAPTCHA, WooCommerce Multilingual, GSAP, Underscore.js, Cart Functionality, Borlabs Cookie, jQuery Migrate, Deutsche Post, Slick, MySQL, WP Rocket, DHL, MailChimp, PHP, Bootstrap, a3 Lazy Load, Revslider, Contact Form 7",Apparel & Fashion,Self Employed,www.anzu-jewelry.com,anzu-jewelry.com,3,"Anzu jewelry vereinigt freie Kunst mit Schmuckdesign, indem feine, von Hand gezeichnete Motive in ausgefallene Schmuckstücke verwandelt werden. Als Materialien wird ein spezieller Kunststoff mit Edelmetallen verwendet . Die Idee hinter anzu jewelry ist freie Kunst tragbar zu machen und Kunden die Möglichkeit anzubieten, Zeichnungen und Illustrationen nicht nur an die Wand hängen zu können, sondern auch als Schmuck tragen zu können. Die Motive in den Schmuckstücken werden alle einzeln per Hand gemalt und die Schmuckstücke einzeln geschmiedet, sind somit Unikate. Von klassisch bis modern, von einfach bis verspielt für alle, die sich mit etwas Außergewöhnlichem den Alltag verschönern wollen.",1252303,,True
82d9fee7-1554-3d19-9f95-760eeb98bdef,Rosenstaub,https://www.linkedin.com/company/rosenstaub,"[Germany, Hesse, Frankfurt Am Main, 100 A Mörfelder Landstraße, 60598]",,"Germany, Hesse, Frankfurt Am Main, 100 A Mörfelder Landstraße, 60598",,"Shopify, Cart Functionality, Google Pay, HTTP/3, HSTS, Klaviyo, Font Awesome, CivicTheme, Google Ads, Envoy, Google Hosted Libraries, Amazon Web Services, Fast Bundle, CloudFlare, Google Tag Manager, Google Analytics, jQuery, Facebook Pixel, Open Graph, MasterCard, Google Ads Conversion Tracking, PayPal, X-Content-Type-Options, Priority Hints, VISA, RSS, X-XSS-Protection, Apple Pay, American Express, Judge.me, Amazon S3, cdnjs, Trusted Shops, Preact, Shopify Product Reviews, Klarna Checkout",Apparel & Fashion,,rosenstaub.com,rosenstaub.com,3,"Our handmade neoprene bags combine classic craftsmanship with today’s athleisure tropes. Each bag is made in Italy or Germany and designed with a vibrant courage of our own. Our methods keep regional craft alive, while our combinations of offbeat materials and colors allow us to play between the lines of established styles.",1252303,,True
